ra,dec,LS_id,z,source
189.43165588378906,11.818090438842773,MESSIER_058,0.005060167324155967,2MRS
177.75743103027344,-28.806209564208984,g1151017-284821,0.006027503200230608,2MRS
190.5333709716797,32.54151153564453,NGC_4631,0.0020213984169008014,2MRS
190.70777893066406,2.6877799034118652,NGC_4636,0.003128831212958666,2MRS
54.71720886230469,-26.337839126586914,g0338521-262016,0.004326326314720032,2MRS
76.92642974853516,-37.5130500793457,g0507423-373046,0.003228900441518112,2MRS
189.2075653076172,13.162870407104492,MESSIER_090,-0.0007838756237156573,2MRS
169.5679168701172,-32.812599182128906,g1118165-324851,0.0024016614854266947,2MRS
129.35260009765625,-55.123741149902344,NGC_2640,0.0035057586405325782,2MRS
168.3212890625,-26.754989624023438,g1113171-264518,0.004559821181358739,2MRS
186.11761474609375,7.3175201416015625,NGC_4365,0.004146201703313031,2MRS
131.28436279296875,-33.794761657714844,NGC_2663,0.0070115172810651565,2MRS
185.72874450683594,15.822380065917969,MESSIER_100,0.005240291935562969,2MRS
228.97369384765625,56.32884979248047,NGC_5907,0.0022248725149716744,2MRS
160.9905548095703,11.70361042022705,10435770+1142136,0.0025217445596980295,2MRS
193.09213256835938,-1.1996899843215942,NGC_4753,0.0041328591395051045,2MRS
55.049598693847656,-18.580379486083984,NGC_1407,0.005934105253575126,2MRS
188.9161834716797,12.556039810180664,MESSIER_089,0.001134117923673717,2MRS
162.07040405273438,12.629300117492676,NGC_3384,0.0023482912301949904,2MRS
190.50967407226562,11.646929740905762,MESSIER_059,0.0013676127903124234,2MRS
63.01805877685547,-32.874210357666016,NGC_1532,0.0034690665900607813,2MRS
128.3451690673828,-22.973669052124023,g0833228-225825,0.005647240131704714,2MRS
186.86065673828125,11.107540130615234,NGC_4429,0.0030554471120150728,2MRS
63.93843078613281,-55.59236145019531,g0415451-553532,0.004009440424281788,2MRS
197.15635681152344,-49.50640869140625,NGC_4976,0.0048466863032291495,2MRS
9.74153995513916,48.337379455566406,NGC_0185,-0.0006737994723002671,2MRS
54.7163200378418,-35.594390869140625,g0338519-353539,0.006247655503061388,2MRS
331.9684143066406,31.359149932861328,NGC_7217,0.0031755301862864075,2MRS
7.591219902038574,-33.2453498840332,g0030219-331438,0.005343696805074396,2MRS
221.2333526611328,1.954740047454834,NGC_5746,0.005750645001216141,2MRS
344.2945251464844,-36.46247863769531,g2257106-362744,0.005713952950744345,2MRS
171.5357666015625,43.58591842651367,NGC_3675,0.0025684435330257708,2MRS
226.6231689453125,55.763309478759766,NGC_5866,0.0022415507197315818,2MRS
54.114959716796875,-34.97629928588867,g0336276-345834,0.006187613965925721,2MRS
